Job_Id,Creation_Date,Job_Title,Business_Unit,Country,City_or_Town,Institution,Qualifications_Type,Qualification_Name,Other_Qualifications,Professional_Qualification,General_Work_Experience,current_Salay,Expected_Salary,General_Availability,Gender,Current_Employer,Current_Title,Job_Experience_Level,Type_of_Employment,Eligibility_Namibia,Academic_Average,Campus_Hire_or_Experienced_Hire,Tax_Company_Experience,Interview_Score
93-735-2960,18/05/2022 20:17,ACCA Audit Trainee,Audit (Africa),Namibia,Windhoek,Namibia University of Science and Technology (NUST),Certificate,Accounting And Finance,none,None,3 - 4 years,56515,75458,Available at 2-weeks’ notice,Female,Woermann & Brock,Accounts Payable Clerk,Entry Level,Full-time,Yes,70-80%,Campus Hire,none,4.91
93-735-2960,04/08/2022 14:38,ACCA Audit Trainee,Audit (Africa),Namibia,Windhoek,Namibia University of Science and Technology (NUST),Masters Degree,Accounting And Finance,ACCA Trainee,none,Greater than 13 years,67854,72220,Available immediately,Male,Euro Exim Bank,Industrial Relations Officer,Entry Level,Contract,Yes,60-70%,Campus Hire,none,0
93-735-2960,08/08/2022 7:54,ACCA Audit Trainee,Audit (Africa),Namibia,Walvis Bay,Namibia University of Science and Technology (NUST),Honours Degree/Honours Equivalent,Accounting And Finance,NA,none,0 - 1 years,72821,53551,Must honour 30 day notice period (or longer),Female,Windhoek Accounting And Taxation,Senior Accountant,Entry Level,Contract,Yes,70-80%,Campus Hire,none,5.51
93-735-2960,15/08/2022 8:58,ACCA Audit Trainee,Audit (Africa),Zimbabwe,Swakopmund,University of Namibia (UNAM),Bachelors Degree,Accounting And Finance,NA,none,11 - 13 years,72797,67058,Must honour 30 day notice period (or longer),Male,none,none,Entry Level,Contract,Yes,60-70%,Campus Hire,none,4
93-735-2960,11/05/2022 14:08,ACCA Audit Trainee,Audit (Africa),Namibia,Okahandja,The International University of Management,Honours Degree/Honours equivalent/Postgraduate Diploma,Accounting And Finance,NA,none,0 - 1 years,60855,67024,Available immediately,Male,Deloitte Namibia,Internal Audit Intern (Ra),Entry Level,Full-time,Yes,60-70%,Campus Hire,none,0
93-735-2960,06/08/2022 13:54,ACCA Audit Trainee,Audit (Africa),Namibia,Grootfontein,University of Namibia (UNAM),Honours Degree/ Honours equivalent,None,NA,none,Greater than 13 years,60987,56960,Available immediately,Female,Deloitte Namibia,Internal Audit Intern (Ra),Entry Level,Contract,Yes,60-70%,Campus Hire,none,5.87
93-735-2960,06/08/2022 13:54,ACCA Audit Trainee,Audit (Africa),Democratic Republic of Congo,Marienthal,Namibia University of Science and Technology (NUST),Matric Certificate,None,NA,none,3 - 4 years,80035,67049,Available immediately,Male,Pricewaterhousecoopers (Pwc) Dr Congo,External Senior Audit Associate,Entry Level,Contract,Yes,60-70%,Campus Hire,none,3.56
93-735-2960,06/08/2019 8:13,ACCA Audit Trainee,Audit (Africa),Uganda,Gobabis,University of Namibia (UNAM),Certificate,None,NA,none,0 - 1 years,59524,67843,Available immediately,Female,Deloitte Uganda,Senior Associate,Entry Level,Full-time,Yes,60-70%,Campus Hire,none,4.67
93-735-2960,12/05/2022 11:39,ACCA Audit Trainee,Audit (Africa),Zimbabwe,Keetmanshoop,The International University of Management,Diploma,Accounting And Finance,none,None,7-10 years,73494,75128,Must honour 30 day notice period (or longer),Female,Judicical Service Commission,Accounting Assistant-July,Entry Level,Full-time,Yes,80-89%,Campus Hire,none,0
93-735-2960,06/08/2022 13:54,ACCA Audit Trainee,Audit (Africa),Namibia,Windhoek,Namibia University of Science and Technology (NUST),Bachelors Degree,Professional Qualification,NA,none,1 - 2 years,67307,72497,Available immediately,Male,Namibia Tourism Board (Ntb),Finance Officer,Entry Level,Contract,Yes,50-60%,Campus Hire,none,5.49
93-735-2960,09/05/2022 14:15,ACCA Audit Trainee,Audit (Africa),Namibia,Windhoek,The International University of Management,Bachelors Degree,Accounting And Finance,NA,none,4 - 5 years,80057,78503,Available immediately,Male,Namibia Tourism Board (Ntb),Finance Officer,Entry Level,Full-time,Yes,70-80%,Campus Hire,none,0
93-735-2960,06/08/2022 21:03,ACCA Audit Trainee,Audit (Africa),Namibia,Windhoek,University of Namibia (UNAM),Honours Degree/Honours Equivalent,Accounting And Finance,Bachelor of Accounting 12BACC,none,Greater than 13 years,70992,63539,Available at 1-weeks’ notice,Female,none,none,Entry Level,Contract,Yes,60-70%,Campus Hire,none,0
93-735-2960,26/08/2019 16:13,ACCA Audit Trainee,Audit (Africa),Namibia,Windhoek,Namibia University of Science and Technology (NUST),Honours Degree/Honours equivalent/Postgraduate Diploma,None,NA,none,3 - 4 years,64362,72237,Available immediately,Male,Office Of The Auditor-General,Audit Intern,Entry Level,Full-time,Yes,60-70%,Campus Hire,none,0
93-735-2960,06/08/2022 13:54,ACCA Audit Trainee,Audit (Africa),Namibia,Windhoek,The International University of Management,Bachelors Degree,Have Complete Modules,NA,none,Greater than 13 years,68923,74159,Available immediately,Male,Deloitte,Business Unit Administrator,Entry Level,Contract,Yes,60-70%,Campus Hire,none,3.79
93-735-2960,24/05/2022 6:54,ACCA Audit Trainee,Audit (Africa),Namibia,Windhoek,Namibia University of Science and Technology (NUST),Honours Degree/Honours equivalent/Postgraduate Diploma,Accounting And Finance,none,None,Greater than 13 years,71981,75444,Must honour 30 day notice period (or longer),Female,Deloitte,Business Unit Administrator,Entry Level,Full-time,Yes,60-70%,Campus Hire,none,2.07
93-735-2960,06/09/2019 10:16,ACCA Audit Trainee,Audit (Africa),South Africa,Johannesburg,University of Namibia (UNAM),Honours Degree/Honours equivalent/Postgraduate Diploma,None,NA,none,Greater than 13 years,58944,78826,Available immediately,Male,Johannesburg City Parks & Zoo,Account Receivable Clerk,Entry Level,Full-time,Yes,70-80%,Campus Hire,none,0
93-735-2960,06/08/2022 13:54,ACCA Audit Trainee,Audit (Africa),Namibia,Windhoek,The Institute of Information Technology,Honours Degree/Honours Equivalent,Accounting And Finance,NA,none,0 - 1 years,61267,76480,Available immediately,Male,Eon Property Services,Accountant,Entry Level,Contract,Yes,70-80%,Campus Hire,none,2.66
93-735-2960,22/05/2022 15:44,ACCA Audit Trainee,Audit (Africa),Namibia,Windhoek,Namibia University of Science and Technology (NUST),Honours Degree/Honours equivalent/Postgraduate Diploma,Accounting And Finance,NA,"Not yet, but desired to achieve.",3 - 4 years,77577,67779,Available immediately,Male,Eon Property Services,Accountant,Entry Level,Full-time,Yes,60-70%,Campus Hire,none,2.44
93-735-2960,15/05/2022 17:16,ACCA Audit Trainee,Audit (Africa),Nigeria,Lagos,The International University of Management,Honours Degree/Honours equivalent/Postgraduate Diploma,Accounting And Finance,ACCA,None,4 - 5 years,70446,55207,Must honour 30 day notice period (or longer),Female,Fidelity Bank Plc,Team Lead Internal Control,Entry Level,Full-time,Yes,70-80%,Campus Hire,none,2.14
93-735-2960,06/08/2022 13:54,ACCA Audit Trainee,Audit (Africa),Nigeria,Lagos,University of Namibia (UNAM),Bachelors Degree,None,NA,none,1 - 2 years,72144,66070,Available immediately,Female,Fidelity Bank Plc,Team Lead Internal Control,Entry Level,Contract,Yes,70-80%,Campus Hire,none,5.52
93-735-2960,06/08/2022 13:54,ACCA Audit Trainee,Audit (Africa),Namibia,Windhoek,The International University of Management,Honours Degree/ Honours equivalent,None,NA,none,1 - 2 years,61567,64202,Available immediately,Female,Arysteq Asset Management Pty Ltd,Trainee Portfolio Administrator,Entry Level,Contract,Yes,60-70%,Campus Hire,none,2
93-735-2960,10/05/2022 9:57,ACCA Audit Trainee,Audit (Africa),Namibia,Windhoek,The International University of Management,Honours Degree/Honours equivalent/Postgraduate Diploma,Accounting And Finance,none,None,2 - 3 years,58836,62731,Available immediately,Male,Arysteq Asset Management Pty Ltd,Trainee Portfolio Administrator,Entry Level,Full-time,Yes,60-70%,Campus Hire,none,4.87
93-735-2960,03/08/2022 19:18,ACCA Audit Trainee,Audit (Africa),Namibia,Windhoek,Namibia University of Science and Technology (NUST),Masters Degree,Accounting And Finance,NA,none,7-10 years,65262,56060,Must honour 30 day notice period (or longer),Female,Mohss / Global Fund Grant,Finance Officer,Entry Level,Contract,Yes,60-70%,Campus Hire,none,0
93-735-2960,03/08/2022 19:22,ACCA Audit Trainee,Audit (Africa),Namibia,Windhoek,The International University of Management,Masters Degree,Accounting And Finance,NA,none,0 - 1 years,60576,66138,Must honour 30 day notice period (or longer),Female,Mohss / Global Fund Grant,Finance Officer,Entry Level,Contract,Yes,60-70%,Campus Hire,none,4.61
93-735-2960,06/08/2022 13:54,ACCA Audit Trainee,Audit (Africa),Zimbabwe,Harare,The International University of Management,Honours Degree/Honours equivalent/Postgraduate Diploma,None,NA,none,3 - 4 years,68575,72780,Available immediately,Female,African Bush Camps,Assistant Accountant,Entry Level,Contract,Yes,60-70%,Campus Hire,none,0
93-735-2960,21/05/2022 6:26,ACCA Audit Trainee,Audit (Africa),Zimbabwe,Harare,Namibia University of Science and Technology (NUST),Honours Degree/Honours equivalent/Postgraduate Diploma,Accounting And Finance,none,None,11 - 13 years,61863,71099,Available at 2-weeks’ notice,Female,African Bush Camps,Assistant Accountant,Entry Level,Full-time,Yes,60-70%,Campus Hire,none,5.5
93-735-2960,13/08/2022 15:31,ACCA Audit Trainee,Audit (Africa),Namibia,Windhoek,University of Namibia (UNAM),Honours Degree/Honours Equivalent,Accounting And Finance,NA,none,1 - 2 years,72294,58311,Available at 24-hours’ notice,Male,none,none,Entry Level,Contract,Yes,60-70%,Campus Hire,none,4.58
93-735-2960,15/08/2022 13:40,ACCA Audit Trainee,Audit (Africa),Namibia,Windhoek,University of Namibia (UNAM),Bachelors Degree,Accounting And Finance,NA,none,5 - 7 years,71775,58054,Available immediately,Male,Welwitchia Health Training Center (Whtc),Finance Clerk,Entry Level,Contract,Yes,60-70%,Campus Hire,none,5.42
93-735-2960,15/05/2022 21:27,ACCA Audit Trainee,Audit (Africa),Namibia,Windhoek,University of Namibia (UNAM),Diploma,Accounting And Finance,none,None,2 - 3 years,53541,53962,Must honour 30 day notice period (or longer),Male,Bank Windhoek,Imports Officer,Entry Level,Full-time,Yes,60-70%,Campus Hire,none,3.08
93-735-2960,06/08/2022 13:54,ACCA Audit Trainee,Audit (Africa),Namibia,Windhoek,Namibia University of Science and Technology (NUST),Certificate,None,NA,none,2 - 3 years,60866,76537,Available immediately,Female,Bank Windhoek,Imports Officer,Entry Level,Contract,Yes,70-80%,Campus Hire,none,0
66-212-2598,16/07/2024 7:01,Analyst - Consulting,Risk Advisory Central,Namibia,Windhoek,University of Namibia (UNAM),Certificate,Computer Science,NA,none,4 - 5 years,62017,78213,Available immediately,Female,Network Operations Center - Paratus Namiba,Intern,Entry Level,Contract,Yes,70-80%,Campus Hire,none,2.43
66-212-2598,21/07/2024 7:38,Analyst - Consulting,Risk Advisory Central,Namibia,Windhoek,Namibia University of Science and Technology (NUST),Masters Degree,None,NA,none,0 - 1 years,76097,60546,Available at 24-hours’ notice,Female,none,none,Entry Level,Contract,Yes,70-80%,Campus Hire,none,2.11
66-212-2598,30/07/2024 7:10,Analyst - Consulting,Risk Advisory Central,Namibia,Windhoek,Namibia University of Science and Technology (NUST),Bachelors Degree,Accounting And Finance,NA,none,2 - 3 years,56668,53961,Available immediately,Female,Nouveau Wines,Office Administrator,Entry Level,Contract,Yes,60-70%,Campus Hire,none,5.66
66-212-2598,22/07/2024 0:54,Analyst - Consulting,Risk Advisory Central,Namibia,Windhoek,Namibia University of Science and Technology (NUST),College Certificate,Introduction To Payroll Administration Payroll System Navigation Creating Employee Profiles Codes Processing Of Payslips Processing Bonus Overtime Staff Loans Pension Medical Leave Management And Processing Termination Of Employees,Grade 12,none,Greater than 13 years,70615,77432,Available immediately,Male,"Novomatic, Gaming",Cashier,Entry Level,Contract,Yes,50-60%,Campus Hire,none,2.1
66-212-2598,22/07/2024 20:38,Analyst - Consulting,Risk Advisory Central,Namibia,Windhoek,University of Namibia (UNAM),None of the Above,None,Post graduate Diploma,none,Greater than 13 years,60087,66012,Must honour 30 day notice period (or longer),Male,. Cotton,Sales Associate,Entry Level,Contract,Yes,60-70%,Campus Hire,none,0
66-212-2598,22/07/2024 7:11,Analyst - Consulting,Risk Advisory Central,Namibia,Windhoek,Namibia University of Science and Technology (NUST),Certificate,Accounting And Finance,NA,none,3 - 4 years,62238,55763,Available at 2-weeks’ notice,Female,Standard Bank Namibia,Wills/Estate Officer,Entry Level,Contract,Yes,60-70%,Campus Hire,none,3.33
66-212-2598,28/07/2024 22:52,Analyst - Consulting,Risk Advisory Central,South Africa,Johannesburg,The International University of Management,Bachelors Degree,Accounting And Finance,NA,none,2 - 3 years,67945,67707,Available immediately,Female,none,none,Entry Level,Contract,No,70-80%,Campus Hire,none,4.53
66-212-2598,18/07/2024 8:06,Analyst - Consulting,Risk Advisory Central,Namibia,Windhoek,Namibia University of Science and Technology (NUST),Honours Degree/Honours equivalent/Postgraduate Diploma,Science,NA,none,None,60840,78562,Available immediately,Female,Novelty Communications,Call Center Manager,Entry Level,Contract,Yes,70-80%,Campus Hire,none,4.28
66-212-2598,30/07/2024 10:51,Analyst - Consulting,Risk Advisory Central,Namibia,Windhoek,The International University of Management,Honours Degree/Honours equivalent/Postgraduate Diploma,Marketing,NA,none,7-10 years,77454,74882,Available immediately,Female,N/A,Personal Assistant,Entry Level,Contract,Yes,60-70%,Campus Hire,none,2.24
66-212-2598,24/07/2024 13:03,Analyst - Consulting,Risk Advisory Central,Namibia,Windhoek,Namibia University of Science and Technology (NUST),Honours Degree/Honours Equivalent,None,Masters Degree in African languages which I am completing this year 2024,none,1 - 2 years,54453,66107,Must honour 30 day notice period (or longer),Male,Amazing Kids Private School And Academy,National Marker For English First Language With Dnea,Entry Level,Contract,Yes,60-70%,Campus Hire,none,0
66-212-2598,24/07/2024 8:54,Analyst - Consulting,Risk Advisory Central,Namibia,Windhoek,University of Namibia (UNAM),Bachelors Degree (In progress),None,NA,none,7-10 years,62028,54564,Available immediately,Female,Oanob Private Hospital,Computer Technician,Entry Level,Contract,Yes,70-80%,Campus Hire,none,5.05
66-212-2598,25/07/2024 18:36,Analyst - Consulting,Risk Advisory Central,Namibia,Windhoek,Namibia University of Science and Technology (NUST),Higher Diploma,Finance,NA,none,3 - 4 years,60844,73801,Available immediately,Female,National Institute Of Technology (Nit),Lecturer/Tutor,Entry Level,Contract,Yes,60-70%,Campus Hire,none,0
66-212-2598,24/07/2024 10:06,Analyst - Consulting,Risk Advisory Central,Botswana,Gaborone,The International University of Management,Bachelors Degree (In progress),None,NA,none,3 - 4 years,72366,67245,Must honour 30 day notice period (or longer),Female,Motor And Glass,Management Accountant,Entry Level,Contract,Yes,60-70%,Campus Hire,none,5.99
66-212-2598,31/07/2024 9:33,Analyst - Consulting,Risk Advisory Central,United Kingdom,London,University of Namibia (UNAM),Bachelors Degree,Accounting And Finance,NA,none,4 - 5 years,59536,59908,Available at 1-weeks’ notice,Female,Interconsumer Products Limited,Project Consultant Intern,Entry Level,Contract,No,60-70%,Campus Hire,none,0
66-212-2598,24/07/2024 6:50,Analyst - Consulting,Risk Advisory Central,Namibia,Windhoek,Namibia University of Science and Technology (NUST),Bachelors Degree (In progress),None,NA,none,Greater than 13 years,70996,79616,Available at 2-weeks’ notice,Prefer not to say,Jaimeelee Diergaardt (Etcetera X Something Artsy),General Worker X Bartender,Entry Level,Contract,Yes,60-70%,Campus Hire,none,0
66-212-2598,25/07/2024 11:03,Analyst - Consulting,Risk Advisory Central,Zimbabwe,Bulawayo,Namibia University of Science and Technology (NUST),Honours Degree/Honours Equivalent,None,NA,none,7-10 years,53503,76064,Available at 2-weeks’ notice,Female,none,none,Entry Level,Contract,Yes,80-89%,Campus Hire,none,5.59
66-212-2598,05/08/2024 14:49,Analyst - Consulting,Risk Advisory Central,Namibia,Windhoek,Namibia University of Science and Technology (NUST),Honours Degree/Honours equivalent/Postgraduate Diploma,Media Studies And Public Relations,NA,none,Greater than 13 years,72141,64889,Must honour 30 day notice period (or longer),Female,Kpmg Southern Africa,Receptionist And Administrative Assistant,Entry Level,Contract,Yes,70-80%,Campus Hire,none,0
66-212-2598,25/07/2024 10:33,Analyst - Consulting,Risk Advisory Central,Namibia,Windhoek,The International University of Management,Bachelors Degree,None,NA,none,2 - 3 years,61505,67380,Available immediately,Female,Kaleidoscope Creations Namibia Art Shop/School,Shop Assistant,Entry Level,Contract,Yes,70-80%,Campus Hire,none,4.84
66-212-2598,18/07/2024 10:33,Analyst - Consulting,Risk Advisory Central,Namibia,Windhoek,University of Namibia (UNAM),Honours Degree/Honours equivalent/Postgraduate Diploma,Economics,NA,none,2 - 3 years,54761,72977,Available immediately,Male,Cospharm Investments Pty,Operations Manager,Entry Level,Contract,Yes,60-70%,Campus Hire,none,3.4
66-212-2598,25/07/2024 12:57,Analyst - Consulting,Risk Advisory Central,Namibia,Windhoek,Namibia University of Science and Technology (NUST),Higher Diploma,Accounting And Finance,NA,none,7-10 years,64536,73978,Available immediately,Female,Collection,Clerk,Entry Level,Contract,Yes,60-70%,Campus Hire,none,0
66-212-2598,01/08/2024 16:59,Analyst - Consulting,Risk Advisory Central,Botswana,Gaborone,The International University of Management,Honours Degree/Honours equivalent/Postgraduate Diploma,Accounting And Finance,NA,none,7-10 years,79702,66432,Available immediately,Male,none,none,Entry Level,Contract,Yes,70-80%,Campus Hire,none,5.3
66-212-2598,26/07/2024 9:18,Analyst - Consulting,Risk Advisory Central,Namibia,Windhoek,University of Namibia (UNAM),Honours Degree/Honours equivalent/Postgraduate Diploma,Clinical Psychology,NA,none,4 - 5 years,67332,63149,Available at 24-hours’ notice,Male,Namibian College Of Open Learning ( Namcol),Student Counsellor,Entry Level,Contract,Yes,60-70%,Campus Hire,none,0
66-212-2598,01/08/2024 13:29,Analyst - Consulting,Risk Advisory Central,South Africa,Centurion,Namibia University of Science and Technology (NUST),Honours Degree/ Honours equivalent,Information Technology,NA,none,1 - 2 years,62600,61620,Must honour 30 day notice period (or longer),Female,Digital And It,Jnr Data Analyst,Entry Level,Contract,Yes,60-70%,Campus Hire,none,2.96
66-212-2598,25/07/2024 13:02,Analyst - Consulting,Risk Advisory Central,Namibia,Windhoek,The International University of Management,Honours Degree/Honours equivalent/Postgraduate Diploma,Science,NA,none,7-10 years,60430,78906,Available immediately,Male,Kmj Marketing Paulus,Consultant,Entry Level,Contract,Yes,60-70%,Campus Hire,none,5.61
66-212-2598,24/07/2024 13:30,Analyst - Consulting,Risk Advisory Central,Tanzania,Dar es Salaam,Namibia University of Science and Technology (NUST),Bachelors Degree,None,NA,none,7-10 years,58083,69962,Available at 2-weeks’ notice,Male,Lenovo,Authorized Dealer/ Partner,Entry Level,Contract,Yes,60-70%,Campus Hire,none,5.58
66-212-2598,30/07/2024 8:38,Analyst - Consulting,Risk Advisory Central,Namibia,Windhoek,University of Namibia (UNAM),Higher Diploma,Business Administration,NA,none,1 - 2 years,72357,65916,Must honour 30 day notice period (or longer),Female,Eos Capital Pty (Ltd),Front Office Manager,Entry Level,Contract,Yes,60-70%,Campus Hire,none,5.1
66-212-2598,25/07/2024 3:34,Analyst - Consulting,Risk Advisory Central,South Africa,Pretoria,University of Namibia (UNAM),Higher National Diploma,None,NA,none,Greater than 13 years,57722,78423,Available immediately,Male,Content. Lawd,Business Analyst,Entry Level,Contract,Yes,70-80%,Campus Hire,none,0
66-212-2598,25/07/2024 9:09,Analyst - Consulting,Risk Advisory Central,South Africa,Pretoria,University of Namibia (UNAM),Bachelors Degree,None,NA,none,11 - 13 years,60479,60437,Available immediately,Male,Deloitte Touche Tohmatsu Ltd.,Audit Associate,Entry Level,Contract,Yes,70-80%,Campus Hire,none,5.01
66-212-2598,02/08/2024 11:43,Analyst - Consulting,Risk Advisory Central,Namibia,Windhoek,International Training College Lingua,Bachelors Degree,Accounting And Finance,NA,none,1 - 2 years,62522,70079,Must honour 30 day notice period (or longer),Female,Namibia Financial Institutions Supervisory Authority,Financial Analyst: Pension Funds,Entry Level,Contract,Yes,90-100%,Campus Hire,none,0
66-212-2598,18/07/2024 8:48,Analyst - Consulting,Risk Advisory Central,Namibia,Windhoek,Namibia University of Science and Technology (NUST),Bachelors Degree (In progress),None,NA,none,5 - 7 years,64208,65214,Available at 1-weeks’ notice,Female,Multichoice/Aps,Outbound Call Centre Agent,Entry Level,Contract,Yes,60-70%,Campus Hire,none,3.15
